n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
35,63,289.98489475907934,4.602934837445704,8.285282707402267,Detroit__Michigan__USA,500.0
144,305,1981.964168043893,6.498243173914403,13.76364005586037,Detroit__Michigan__USA,1000.0
253,566,4100.911201886227,7.245426151742451,16.209135185321056,Detroit__Michigan__USA,1500.0
402,958,7499.909367338332,7.828715414758175,18.65649096352819,Detroit__Michigan__USA,2000.0
565,1426,11750.410824166056,8.240119792542817,20.79718729940895,Detroit__Michigan__USA,2500.0
800,2098,18229.6443378812,8.689058311668827,22.7870554223515,Detroit__Michigan__USA,3000.0
1062,2831,25693.4346377511,9.075745191717097,24.19344127848503,Detroit__Michigan__USA,3500.0
1406,3780,35794.693669967186,9.4694956798855,25.458530348483063,Detroit__Michigan__USA,4000.0
1856,4914,48614.871551515076,9.893136253869573,26.193357516980107,Detroit__Michigan__USA,4500.0
2354,6145,63029.75798410209,10.257080225240372,26.77559812408755,Detroit__Michigan__USA,5000.0
2920,7561,79995.8662404963,10.58006430901948,27.39584460290969,Detroit__Michigan__USA,5500.0
3472,8957,97053.65620902904,10.835509234010164,27.95324199568809,Detroit__Michigan__USA,6000.0
4078,10564,116857.35903416794,11.061847693503212,28.655556408574775,Detroit__Michigan__USA,6500.0
4721,12342,138971.59892906237,11.260055009646926,29.4368987352388,Detroit__Michigan__USA,7000.0
5525,14555,167033.70306124285,11.47603593687687,30.232344445473817,Detroit__Michigan__USA,7500.0
6416,17072,199357.32366442177,11.67744398221777,31.071902067397406,Detroit__Michigan__USA,8000.0
7241,19481,230579.56878561774,11.836125906556015,31.843608449885064,Detroit__Michigan__USA,8500.0
8071,21810,261423.26120834716,11.986394369937972,32.39044247408588,Detroit__Michigan__USA,9000.0
8987,24426,296365.9295829923,12.133215818512744,32.97718143796509,Detroit__Michigan__USA,9500.0
9942,27024,331823.44074212655,12.278842537822918,33.375924435941116,Detroit__Michigan__USA,10000.0
