n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
43,102,459.41991702474553,4.504116833575937,10.684184116854547,San_Francisco__California__USA,500.0
189,504,3307.039510652355,6.561586330659435,17.49756354842516,San_Francisco__California__USA,1000.0
423,1145,8836.975371616843,7.717882420626064,20.891194731954712,San_Francisco__California__USA,1500.0
752,2046,17485.36817624849,8.546123253298381,23.25181938330916,San_Francisco__California__USA,2000.0
1139,3101,28363.47346387464,9.146557066712235,24.902083813761756,San_Francisco__California__USA,2500.0
1754,4710,46115.67966883748,9.79101479168524,26.291721589987162,San_Francisco__California__USA,3000.0
2441,6578,67513.89000252676,10.26358923723423,27.65829168477131,San_Francisco__California__USA,3500.0
3250,8713,93094.52025859265,10.684554144220435,28.64446777187466,San_Francisco__California__USA,4000.0
4092,10958,120744.90484665071,11.01888162499094,29.50755250406909,San_Francisco__California__USA,4500.0
4883,13301,149628.9521290004,11.249451329148213,30.64283271124317,San_Francisco__California__USA,5000.0
5703,15648,179374.08141927444,11.463067575362631,31.45258309999552,San_Francisco__California__USA,5500.0
6580,18163,211796.9110153525,11.660899136450613,32.187980397469985,San_Francisco__California__USA,6000.0
7495,20727,245535.60399671216,11.846171852979793,32.75992047988154,San_Francisco__California__USA,6500.0
8554,23601,284162.35322333255,12.040267498128577,33.21982151313217,San_Francisco__California__USA,7000.0
9308,25663,312144.7495435283,12.163221351499368,33.53510416239023,San_Francisco__California__USA,7500.0
9643,26688,325827.3956755621,12.208760329569923,33.78900712180464,San_Francisco__California__USA,8000.0
9823,27135,332082.7705155694,12.238171015867678,33.80665484226503,San_Francisco__California__USA,8500.0
9886,27289,334248.13297094917,12.248456629812349,33.810250148791134,San_Francisco__California__USA,9000.0
9892,27299,334403.99112166296,12.249679150212936,33.80549849592226,San_Francisco__California__USA,9500.0
9892,27299,334403.99112166296,12.249679150212936,33.80549849592226,San_Francisco__California__USA,10000.0
