n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
37,72,329.1258346099592,4.571192147360545,8.895292827296196,Seattle__Washington__USA,500.0
126,311,1889.672816673164,6.0761183815857365,14.997403306929874,Seattle__Washington__USA,1000.0
324,824,6114.092690491253,7.420015401081618,18.870656452133495,Seattle__Washington__USA,1500.0
577,1512,12422.927274042566,8.216221742091644,21.530203247907394,Seattle__Washington__USA,2000.0
918,2390,21268.42985548498,8.898924625725934,23.168224243447693,Seattle__Washington__USA,2500.0
1346,3585,33770.44941424095,9.419930101601382,25.089486934800114,Seattle__Washington__USA,3000.0
1847,4888,48326.43991714987,9.88675121054621,26.164829408310705,Seattle__Washington__USA,3500.0
2328,6179,63130.9752904571,10.217021409687183,27.118116533701503,Seattle__Washington__USA,4000.0
2842,7546,79268.64308689305,10.504723441146707,27.891851895458498,Seattle__Washington__USA,4500.0
3398,9007,96962.637507042,10.765253414793161,28.535208212784582,Seattle__Washington__USA,5000.0
3995,10540,116000.63435773554,11.005752785363903,29.036454157130297,Seattle__Washington__USA,5500.0
4590,12083,135443.40473404745,11.209418582640689,29.508367044454783,Seattle__Washington__USA,6000.0
5090,13360,151808.8077978247,11.362934715406041,29.824913123344736,Seattle__Washington__USA,6500.0
5617,14783,170023.40143355276,11.501278592542295,30.269432336398925,Seattle__Washington__USA,7000.0
6138,16208,188410.32464492193,11.624526446503081,30.695719231821755,Seattle__Washington__USA,7500.0
6728,17841,209648.2860970303,11.750926859314518,31.16056571002234,Seattle__Washington__USA,8000.0
7368,19566,232444.71635125947,11.880032523318995,31.54787138317854,Seattle__Washington__USA,8500.0
8020,21355,256228.45339099385,11.99852275303179,31.948684961470555,Seattle__Washington__USA,9000.0
8751,23314,282650.688240002,12.123646231449001,32.29924445663376,Seattle__Washington__USA,9500.0
9495,25245,309108.1993415794,12.244333505311127,32.55483931980826,Seattle__Washington__USA,10000.0
